"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.926395103095814,0,0,0.3,0.3,0.3,0.3,0.3,0,0
0,0.926395103095814,0,0,0.3,0,0,0.3,0.3,0
0,0,0.926395103095814,0,0.3,0.3,0,0.3,0,0
0.3,0,0,0.926395103095814,0.3,0,0.3,0,0.3,0.3
0.3,0.3,0.3,0.3,0.926395103095814,0,0.3,0.3,0.3,0.3
0.3,0,0.3,0,0,0.926395103095814,0,0,0,0.3
0.3,0,0,0.3,0.3,0,0.926395103095814,0.3,0.3,0.3
0.3,0.3,0.3,0,0.3,0,0.3,0.926395103095814,0.3,0
0,0.3,0,0.3,0.3,0,0.3,0.3,0.926395103095814,0.3
0,0,0,0.3,0.3,0.3,0.3,0,0.3,0.926395103095814
