"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.879033430428924,0.3,0.3,0.3,0,0,0,0,0.3,0.3
0.3,0.879033430428924,0.3,0,0,0.3,0.3,0,0.3,0
0.3,0.3,0.879033430428924,0,0,0.3,0.3,0.3,0.3,0.3
0.3,0,0,0.879033430428924,0.3,0,0,0.3,0.3,0
0,0,0,0.3,0.879033430428924,0.3,0,0,0.3,0
0,0.3,0.3,0,0.3,0.879033430428924,0.3,0,0,0
0,0.3,0.3,0,0,0.3,0.879033430428924,0,0.3,0.3
0,0,0.3,0.3,0,0,0,0.879033430428924,0.3,0.3
0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.879033430428924,0.3
0.3,0,0.3,0,0,0,0.3,0.3,0.3,0.879033430428924
